index,Place Name,Place ID,Place Sequence,Boardings,Alightings,Load,time,day,line,direction,per,level
2362,State,B.70041,10,1,17.9,21,9pm-10pm,Wednesday,Blue Line,Westbound,4,placeholder
2363,Government Center,B.70039,11,0,19,2,9pm-10pm,Wednesday,Blue Line,Westbound,0,placeholder
2364,Bowdoin,B.70838,12,0,2.4,0,9pm-10pm,Wednesday,Blue Line,Westbound,0,placeholder
2365,Wonderland,B.70059,1,10,0,10,10pm-11pm,Wednesday,Blue Line,Westbound,2,placeholder
2366,Revere Beach,B.70057,2,5,0.7,16,10pm-11pm,Wednesday,Blue Line,Westbound,3,placeholder
2367,Beachmont,B.70055,3,5,2.4,18,10pm-11pm,Wednesday,Blue Line,Westbound,3,placeholder
2368,Suffolk Downs,B.70053,4,1,0.6,19,10pm-11pm,Wednesday,Blue Line,Westbound,3,placeholder
2369,Orient Heights,B.70051,5,5,3.1,21,10pm-11pm,Wednesday,Blue Line,Westbound,4,placeholder
2370,Wood Island,B.70049,6,4,0.9,24,10pm-11pm,Wednesday,Blue Line,Westbound,4,placeholder
2371,Airport,B.70047,7,17,4.6,36,10pm-11pm,Wednesday,Blue Line,Westbound,6,placeholder
2372,Maverick,B.70045,8,10,6.4,36,10pm-11pm,Wednesday,Blue Line,Westbound,6,placeholder
2373,Aquarium,B.70043,9,2,1.6,36,10pm-11pm,Wednesday,Blue Line,Westbound,6,placeholder
2374,State,B.70041,10,1,17.4,20,10pm-11pm,Wednesday,Blue Line,Westbound,3,placeholder
2375,Government Center,B.70039,11,0,16.9,2,10pm-11pm,Wednesday,Blue Line,Westbound,0,placeholder
2376,Bowdoin,B.70838,12,0,2,0,10pm-11pm,Wednesday,Blue Line,Westbound,0,placeholder
2377,Wonderland,B.70059,1,6,0,6,11pm-12am,Wednesday,Blue Line,Westbound,1,placeholder
2378,Revere Beach,B.70057,2,3,0.3,8,11pm-12am,Wednesday,Blue Line,Westbound,1,placeholder
2379,Beachmont,B.70055,3,1,1.3,8,11pm-12am,Wednesday,Blue Line,Westbound,1,placeholder
2380,Suffolk Downs,B.70053,4,0,0.2,9,11pm-12am,Wednesday,Blue Line,Westbound,2,placeholder
2381,Orient Heights,B.70051,5,3,1.4,11,11pm-12am,Wednesday,Blue Line,Westbound,2,placeholder
2382,Wood Island,B.70049,6,3,0.8,12,11pm-12am,Wednesday,Blue Line,Westbound,2,placeholder
2383,Airport,B.70047,7,12,2.9,21,11pm-12am,Wednesday,Blue Line,Westbound,4,placeholder
2384,Maverick,B.70045,8,5,5.7,20,11pm-12am,Wednesday,Blue Line,Westbound,3,placeholder
2385,Aquarium,B.70043,9,1,0.7,25,11pm-12am,Wednesday,Blue Line,Westbound,4,placeholder
2386,State,B.70041,10,0,14.1,12,11pm-12am,Wednesday,Blue Line,Westbound,2,placeholder
2387,Government Center,B.70039,11,0,10.6,1,11pm-12am,Wednesday,Blue Line,Westbound,0,placeholder
2388,Bowdoin,B.70838,12,0,0.8,0,11pm-12am,Wednesday,Blue Line,Westbound,0,placeholder
2389,Wonderland,B.70059,1,2,0,2,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2390,Revere Beach,B.70057,2,1,0.1,3,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2391,Beachmont,B.70055,3,1,0.5,4,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2392,Suffolk Downs,B.70053,4,0,0,3,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2393,Orient Heights,B.70051,5,1,0.6,3,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2394,Wood Island,B.70049,6,2,0.1,5,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2395,Airport,B.70047,7,4,1.5,7,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2396,Maverick,B.70045,8,3,2,8,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2397,Aquarium,B.70043,9,0,0.1,7,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2398,State,B.70041,10,0,3.3,4,12am-1am,Wednesday,Blue Line,Westbound,1,placeholder
2399,Government Center,B.70039,11,0,3.4,0,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2400,Bowdoin,B.70838,12,0,0.5,0,12am-1am,Wednesday,Blue Line,Westbound,0,placeholder
2401,Wonderland,B.70059,1,28,0,28,5am-6am,Thursday,Blue Line,Westbound,5,placeholder
2402,Revere Beach,B.70057,2,18,0.1,47,5am-6am,Thursday,Blue Line,Westbound,8,placeholder
2403,Beachmont,B.70055,3,22,0.6,71,5am-6am,Thursday,Blue Line,Westbound,12,placeholder
2404,Suffolk Downs,B.70053,4,4,0.1,79,5am-6am,Thursday,Blue Line,Westbound,13,placeholder
2405,Orient Heights,B.70051,5,26,0.5,109,5am-6am,Thursday,Blue Line,Westbound,18,placeholder
2406,Wood Island,B.70049,6,9,1.2,105,5am-6am,Thursday,Blue Line,Westbound,18,placeholder
2407,Airport,B.70047,7,23,8,126,5am-6am,Thursday,Blue Line,Westbound,21,placeholder
2408,Maverick,B.70045,8,45,5,174,5am-6am,Thursday,Blue Line,Westbound,29,placeholder
2409,Aquarium,B.70043,9,0,12.1,187,5am-6am,Thursday,Blue Line,Westbound,31,placeholder
2410,State,B.70041,10,0,76,125,5am-6am,Thursday,Blue Line,Westbound,21,placeholder
2411,Government Center,B.70039,11,0,104,21,5am-6am,Thursday,Blue Line,Westbound,4,placeholder
2412,Bowdoin,B.70838,12,0,21,0,5am-6am,Thursday,Blue Line,Westbound,0,placeholder
2413,Wonderland,B.70059,1,58,0,58,6am-7am,Thursday,Blue Line,Westbound,10,placeholder
2414,Revere Beach,B.70057,2,30,0.3,88,6am-7am,Thursday,Blue Line,Westbound,15,placeholder
2415,Beachmont,B.70055,3,29,0.8,115,6am-7am,Thursday,Blue Line,Westbound,19,placeholder
2416,Suffolk Downs,B.70053,4,7,0,116,6am-7am,Thursday,Blue Line,Westbound,19,placeholder
2417,Orient Heights,B.70051,5,32,0.7,142,6am-7am,Thursday,Blue Line,Westbound,24,placeholder
2418,Wood Island,B.70049,6,16,2,171,6am-7am,Thursday,Blue Line,Westbound,28,placeholder
2419,Airport,B.70047,7,36,8,190,6am-7am,Thursday,Blue Line,Westbound,32,placeholder
2420,Maverick,B.70045,8,76,7.1,259,6am-7am,Thursday,Blue Line,Westbound,43,placeholder
2421,Aquarium,B.70043,9,0,19.3,240,6am-7am,Thursday,Blue Line,Westbound,40,placeholder
2422,State,B.70041,10,0,96,133,6am-7am,Thursday,Blue Line,Westbound,22,placeholder
2423,Government Center,B.70039,11,0,111.9,28,6am-7am,Thursday,Blue Line,Westbound,5,placeholder
2424,Bowdoin,B.70838,12,0,27.6,0,6am-7am,Thursday,Blue Line,Westbound,0,placeholder
2425,Wonderland,B.70059,1,74,0,74,7am-8am,Thursday,Blue Line,Westbound,12,placeholder
2426,Revere Beach,B.70057,2,32,0.3,106,7am-8am,Thursday,Blue Line,Westbound,18,placeholder
2427,Beachmont,B.70055,3,37,1.4,141,7am-8am,Thursday,Blue Line,Westbound,24,placeholder
2428,Suffolk Downs,B.70053,4,9,0.2,150,7am-8am,Thursday,Blue Line,Westbound,25,placeholder
2429,Orient Heights,B.70051,5,36,1.8,201,7am-8am,Thursday,Blue Line,Westbound,34,placeholder
2430,Wood Island,B.70049,6,16,2.4,195,7am-8am,Thursday,Blue Line,Westbound,32,placeholder
2431,Airport,B.70047,7,42,8.3,229,7am-8am,Thursday,Blue Line,Westbound,38,placeholder
2432,Maverick,B.70045,8,79,9.7,298,7am-8am,Thursday,Blue Line,Westbound,50,placeholder
2433,Aquarium,B.70043,9,1,29.2,256,7am-8am,Thursday,Blue Line,Westbound,43,placeholder
2434,State,B.70041,10,1,114.1,155,7am-8am,Thursday,Blue Line,Westbound,26,placeholder
2435,Government Center,B.70039,11,0,126,29,7am-8am,Thursday,Blue Line,Westbound,5,placeholder
2436,Bowdoin,B.70838,12,0,29.4,0,7am-8am,Thursday,Blue Line,Westbound,0,placeholder
2437,Wonderland,B.70059,1,70,0,70,8am-9am,Thursday,Blue Line,Westbound,12,placeholder
2438,Revere Beach,B.70057,2,26,0.2,92,8am-9am,Thursday,Blue Line,Westbound,15,placeholder
2439,Beachmont,B.70055,3,31,1.4,122,8am-9am,Thursday,Blue Line,Westbound,20,placeholder
2440,Suffolk Downs,B.70053,4,7,0.3,129,8am-9am,Thursday,Blue Line,Westbound,22,placeholder
2441,Orient Heights,B.70051,5,42,1.8,158,8am-9am,Thursday,Blue Line,Westbound,26,placeholder
2442,Wood Island,B.70049,6,14,1.9,178,8am-9am,Thursday,Blue Line,Westbound,30,placeholder
2443,Airport,B.70047,7,54,6.3,226,8am-9am,Thursday,Blue Line,Westbound,38,placeholder
2444,Maverick,B.70045,8,100,12.1,336,8am-9am,Thursday,Blue Line,Westbound,56,placeholder
2445,Aquarium,B.70043,9,1,41.3,296,8am-9am,Thursday,Blue Line,Westbound,49,placeholder
2446,State,B.70041,10,1,127.8,155,8am-9am,Thursday,Blue Line,Westbound,26,placeholder
2447,Government Center,B.70039,11,0,129.5,26,8am-9am,Thursday,Blue Line,Westbound,4,placeholder
2448,Bowdoin,B.70838,12,0,25.7,0,8am-9am,Thursday,Blue Line,Westbound,0,placeholder
2449,Wonderland,B.70059,1,37,0,37,9am-10am,Thursday,Blue Line,Westbound,6,placeholder
2450,Revere Beach,B.70057,2,19,0.1,58,9am-10am,Thursday,Blue Line,Westbound,10,placeholder
2451,Beachmont,B.70055,3,18,1,72,9am-10am,Thursday,Blue Line,Westbound,12,placeholder
2452,Suffolk Downs,B.70053,4,4,0.3,77,9am-10am,Thursday,Blue Line,Westbound,13,placeholder
2453,Orient Heights,B.70051,5,18,1.4,93,9am-10am,Thursday,Blue Line,Westbound,16,placeholder
2454,Wood Island,B.70049,6,11,1.2,107,9am-10am,Thursday,Blue Line,Westbound,18,placeholder
2455,Airport,B.70047,7,30,5.1,144,9am-10am,Thursday,Blue Line,Westbound,24,placeholder
2456,Maverick,B.70045,8,63,8.5,177,9am-10am,Thursday,Blue Line,Westbound,30,placeholder
2457,Aquarium,B.70043,9,2,20.4,158,9am-10am,Thursday,Blue Line,Westbound,26,placeholder
2458,State,B.70041,10,1,69.9,98,9am-10am,Thursday,Blue Line,Westbound,16,placeholder
2459,Government Center,B.70039,11,0,80,13,9am-10am,Thursday,Blue Line,Westbound,2,placeholder
2460,Bowdoin,B.70838,12,0,13.9,0,9am-10am,Thursday,Blue Line,Westbound,0,placeholder
2461,Wonderland,B.70059,1,31,0,31,10am-11am,Thursday,Blue Line,Westbound,5,placeholder
2462,Revere Beach,B.70057,2,18,0.2,48,10am-11am,Thursday,Blue Line,Westbound,8,placeholder
2463,Beachmont,B.70055,3,12,1.6,59,10am-11am,Thursday,Blue Line,Westbound,10,placeholder
2464,Suffolk Downs,B.70053,4,4,0.4,62,10am-11am,Thursday,Blue Line,Westbound,10,placeholder
2465,Orient Heights,B.70051,5,18,2.3,78,10am-11am,Thursday,Blue Line,Westbound,13,placeholder
2466,Wood Island,B.70049,6,8,0.8,75,10am-11am,Thursday,Blue Line,Westbound,12,placeholder
2467,Airport,B.70047,7,26,5.3,95,10am-11am,Thursday,Blue Line,Westbound,16,placeholder
2468,Maverick,B.70045,8,44,10.4,129,10am-11am,Thursday,Blue Line,Westbound,22,placeholder
2469,Aquarium,B.70043,9,2,16,115,10am-11am,Thursday,Blue Line,Westbound,19,placeholder
2470,State,B.70041,10,1,44.2,64,10am-11am,Thursday,Blue Line,Westbound,11,placeholder
2471,Government Center,B.70039,11,0,63.8,9,10am-11am,Thursday,Blue Line,Westbound,2,placeholder
2472,Bowdoin,B.70838,12,0,8.7,0,10am-11am,Thursday,Blue Line,Westbound,0,placeholder
2473,Wonderland,B.70059,1,33,0,33,11am-12pm,Thursday,Blue Line,Westbound,6,placeholder
2474,Revere Beach,B.70057,2,21,0.3,50,11am-12pm,Thursday,Blue Line,Westbound,8,placeholder
2475,Beachmont,B.70055,3,18,2.7,65,11am-12pm,Thursday,Blue Line,Westbound,11,placeholder
2476,Suffolk Downs,B.70053,4,4,0.4,75,11am-12pm,Thursday,Blue Line,Westbound,12,placeholder
2477,Orient Heights,B.70051,5,24,2.8,125,11am-12pm,Thursday,Blue Line,Westbound,21,placeholder
2478,Wood Island,B.70049,6,11,1.5,135,11am-12pm,Thursday,Blue Line,Westbound,22,placeholder
2479,Airport,B.70047,7,36,11,133,11am-12pm,Thursday,Blue Line,Westbound,22,placeholder
2480,Maverick,B.70045,8,52,16.1,169,11am-12pm,Thursday,Blue Line,Westbound,28,placeholder
2481,Aquarium,B.70043,9,2,18.8,152,11am-12pm,Thursday,Blue Line,Westbound,25,placeholder
2482,State,B.70041,10,2,70.4,101,11am-12pm,Thursday,Blue Line,Westbound,17,placeholder
2483,Government Center,B.70039,11,0,71.8,11,11am-12pm,Thursday,Blue Line,Westbound,2,placeholder
2484,Bowdoin,B.70838,12,0,10.6,0,11am-12pm,Thursday,Blue Line,Westbound,0,placeholder
2485,Wonderland,B.70059,1,39,0,39,12pm-1pm,Thursday,Blue Line,Westbound,6,placeholder
2486,Revere Beach,B.70057,2,25,0.2,64,12pm-1pm,Thursday,Blue Line,Westbound,11,placeholder
2487,Beachmont,B.70055,3,21,2.9,90,12pm-1pm,Thursday,Blue Line,Westbound,15,placeholder
2488,Suffolk Downs,B.70053,4,4,0.4,83,12pm-1pm,Thursday,Blue Line,Westbound,14,placeholder
2489,Orient Heights,B.70051,5,22,3.2,94,12pm-1pm,Thursday,Blue Line,Westbound,16,placeholder
2490,Wood Island,B.70049,6,10,1.2,103,12pm-1pm,Thursday,Blue Line,Westbound,17,placeholder
2491,Airport,B.70047,7,43,11.8,134,12pm-1pm,Thursday,Blue Line,Westbound,22,placeholder
2492,Maverick,B.70045,8,64,24.1,206,12pm-1pm,Thursday,Blue Line,Westbound,34,placeholder
2493,Aquarium,B.70043,9,5,18.2,170,12pm-1pm,Thursday,Blue Line,Westbound,28,placeholder
2494,State,B.70041,10,2,70.3,102,12pm-1pm,Thursday,Blue Line,Westbound,17,placeholder
2495,Government Center,B.70039,11,0,89,13,12pm-1pm,Thursday,Blue Line,Westbound,2,placeholder
2496,Bowdoin,B.70838,12,0,13.3,0,12pm-1pm,Thursday,Blue Line,Westbound,0,placeholder
2497,Wonderland,B.70059,1,47,0,47,1pm-2pm,Thursday,Blue Line,Westbound,8,placeholder
2498,Revere Beach,B.70057,2,28,0.8,74,1pm-2pm,Thursday,Blue Line,Westbound,12,placeholder
2499,Beachmont,B.70055,3,19,3.5,89,1pm-2pm,Thursday,Blue Line,Westbound,15,placeholder
2500,Suffolk Downs,B.70053,4,4,0.5,93,1pm-2pm,Thursday,Blue Line,Westbound,16,placeholder
2501,Orient Heights,B.70051,5,22,2.6,112,1pm-2pm,Thursday,Blue Line,Westbound,19,placeholder
2502,Wood Island,B.70049,6,11,0.9,134,1pm-2pm,Thursday,Blue Line,Westbound,22,placeholder
2503,Airport,B.70047,7,52,12.2,174,1pm-2pm,Thursday,Blue Line,Westbound,29,placeholder
2504,Maverick,B.70045,8,59,21.3,195,1pm-2pm,Thursday,Blue Line,Westbound,32,placeholder
2505,Aquarium,B.70043,9,4,18.1,181,1pm-2pm,Thursday,Blue Line,Westbound,30,placeholder
2506,State,B.70041,10,3,64.4,103,1pm-2pm,Thursday,Blue Line,Westbound,17,placeholder
2507,Government Center,B.70039,11,0,88.5,14,1pm-2pm,Thursday,Blue Line,Westbound,2,placeholder
2508,Bowdoin,B.70838,12,0,14.3,0,1pm-2pm,Thursday,Blue Line,Westbound,0,placeholder
2509,Wonderland,B.70059,1,26,0,26,2pm-3pm,Thursday,Blue Line,Westbound,4,placeholder
2510,Revere Beach,B.70057,2,25,0.4,51,2pm-3pm,Thursday,Blue Line,Westbound,8,placeholder
2511,Beachmont,B.70055,3,19,3.7,63,2pm-3pm,Thursday,Blue Line,Westbound,10,placeholder
2512,Suffolk Downs,B.70053,4,4,0.5,75,2pm-3pm,Thursday,Blue Line,Westbound,12,placeholder
2513,Orient Heights,B.70051,5,16,2.1,69,2pm-3pm,Thursday,Blue Line,Westbound,12,placeholder
2514,Wood Island,B.70049,6,10,1.4,78,2pm-3pm,Thursday,Blue Line,Westbound,13,placeholder
2515,Airport,B.70047,7,36,6.4,112,2pm-3pm,Thursday,Blue Line,Westbound,19,placeholder
2516,Maverick,B.70045,8,50,15.1,141,2pm-3pm,Thursday,Blue Line,Westbound,24,placeholder
2517,Aquarium,B.70043,9,5,15.9,147,2pm-3pm,Thursday,Blue Line,Westbound,24,placeholder
2518,State,B.70041,10,3,57.9,92,2pm-3pm,Thursday,Blue Line,Westbound,15,placeholder
2519,Government Center,B.70039,11,0,85.7,12,2pm-3pm,Thursday,Blue Line,Westbound,2,placeholder
2520,Bowdoin,B.70838,12,0,12,0,2pm-3pm,Thursday,Blue Line,Westbound,0,placeholder
2521,Wonderland,B.70059,1,22,0,22,3pm-4pm,Thursday,Blue Line,Westbound,4,placeholder
2522,Revere Beach,B.70057,2,22,0.5,45,3pm-4pm,Thursday,Blue Line,Westbound,8,placeholder
2523,Beachmont,B.70055,3,15,2.5,57,3pm-4pm,Thursday,Blue Line,Westbound,10,placeholder
2524,Suffolk Downs,B.70053,4,3,0.2,60,3pm-4pm,Thursday,Blue Line,Westbound,10,placeholder
2525,Orient Heights,B.70051,5,18,2.2,75,3pm-4pm,Thursday,Blue Line,Westbound,12,placeholder
2526,Wood Island,B.70049,6,11,1.3,89,3pm-4pm,Thursday,Blue Line,Westbound,15,placeholder
2527,Airport,B.70047,7,34,6.9,111,3pm-4pm,Thursday,Blue Line,Westbound,18,placeholder
2528,Maverick,B.70045,8,52,15.1,154,3pm-4pm,Thursday,Blue Line,Westbound,26,placeholder
2529,Aquarium,B.70043,9,6,15.7,144,3pm-4pm,Thursday,Blue Line,Westbound,24,placeholder
2530,State,B.70041,10,2,58.2,96,3pm-4pm,Thursday,Blue Line,Westbound,16,placeholder
2531,Government Center,B.70039,11,0,82.8,8,3pm-4pm,Thursday,Blue Line,Westbound,1,placeholder
2532,Bowdoin,B.70838,12,0,8.5,0,3pm-4pm,Thursday,Blue Line,Westbound,0,placeholder
2533,Wonderland,B.70059,1,23,0,23,4pm-5pm,Thursday,Blue Line,Westbound,4,placeholder
2534,Revere Beach,B.70057,2,15,0.5,36,4pm-5pm,Thursday,Blue Line,Westbound,6,placeholder
2535,Beachmont,B.70055,3,11,2.6,47,4pm-5pm,Thursday,Blue Line,Westbound,8,placeholder
2536,Suffolk Downs,B.70053,4,3,0.3,45,4pm-5pm,Thursday,Blue Line,Westbound,8,placeholder
2537,Orient Heights,B.70051,5,15,2.3,60,4pm-5pm,Thursday,Blue Line,Westbound,10,placeholder
2538,Wood Island,B.70049,6,10,1.4,66,4pm-5pm,Thursday,Blue Line,Westbound,11,placeholder
2539,Airport,B.70047,7,27,6.9,89,4pm-5pm,Thursday,Blue Line,Westbound,15,placeholder
2540,Maverick,B.70045,8,40,12.8,116,4pm-5pm,Thursday,Blue Line,Westbound,19,placeholder
2541,Aquarium,B.70043,9,6,12.2,110,4pm-5pm,Thursday,Blue Line,Westbound,18,placeholder
2542,State,B.70041,10,3,49.1,63,4pm-5pm,Thursday,Blue Line,Westbound,10,placeholder
2543,Government Center,B.70039,11,0,57.5,6,4pm-5pm,Thursday,Blue Line,Westbound,1,placeholder
2544,Bowdoin,B.70838,12,0,5.9,0,4pm-5pm,Thursday,Blue Line,Westbound,0,placeholder
2545,Wonderland,B.70059,1,16,0,16,5pm-6pm,Thursday,Blue Line,Westbound,3,placeholder
2546,Revere Beach,B.70057,2,9,0.4,25,5pm-6pm,Thursday,Blue Line,Westbound,4,placeholder
2547,Beachmont,B.70055,3,8,2.3,28,5pm-6pm,Thursday,Blue Line,Westbound,5,placeholder
2548,Suffolk Downs,B.70053,4,2,0.5,30,5pm-6pm,Thursday,Blue Line,Westbound,5,placeholder
2549,Orient Heights,B.70051,5,11,2,44,5pm-6pm,Thursday,Blue Line,Westbound,7,placeholder
2550,Wood Island,B.70049,6,8,1.4,48,5pm-6pm,Thursday,Blue Line,Westbound,8,placeholder
2551,Airport,B.70047,7,27,4.8,70,5pm-6pm,Thursday,Blue Line,Westbound,12,placeholder
2552,Maverick,B.70045,8,35,12.3,93,5pm-6pm,Thursday,Blue Line,Westbound,16,placeholder
2553,Aquarium,B.70043,9,6,6.8,78,5pm-6pm,Thursday,Blue Line,Westbound,13,placeholder
2554,State,B.70041,10,5,37.6,46,5pm-6pm,Thursday,Blue Line,Westbound,8,placeholder
2555,Government Center,B.70039,11,0,40.8,5,5pm-6pm,Thursday,Blue Line,Westbound,1,placeholder
2556,Bowdoin,B.70838,12,0,5.2,0,5pm-6pm,Thursday,Blue Line,Westbound,0,placeholder
2557,Wonderland,B.70059,1,13,0,13,6pm-7pm,Thursday,Blue Line,Westbound,2,placeholder
2558,Revere Beach,B.70057,2,6,0.9,19,6pm-7pm,Thursday,Blue Line,Westbound,3,placeholder
2559,Beachmont,B.70055,3,4,4.1,22,6pm-7pm,Thursday,Blue Line,Westbound,4,placeholder
2560,Suffolk Downs,B.70053,4,1,0.5,23,6pm-7pm,Thursday,Blue Line,Westbound,4,placeholder
2561,Orient Heights,B.70051,5,11,1.7,39,6pm-7pm,Thursday,Blue Line,Westbound,6,placeholder
2562,Wood Island,B.70049,6,6,1.8,48,6pm-7pm,Thursday,Blue Line,Westbound,8,placeholder
2563,Airport,B.70047,7,18,5.2,55,6pm-7pm,Thursday,Blue Line,Westbound,9,placeholder
2564,Maverick,B.70045,8,44,5.8,77,6pm-7pm,Thursday,Blue Line,Westbound,13,placeholder
2565,Aquarium,B.70043,9,8,8.1,83,6pm-7pm,Thursday,Blue Line,Westbound,14,placeholder
2566,State,B.70041,10,6,33.8,49,6pm-7pm,Thursday,Blue Line,Westbound,8,placeholder
2567,Government Center,B.70039,11,0,43.4,6,6pm-7pm,Thursday,Blue Line,Westbound,1,placeholder
2568,Bowdoin,B.70838,12,0,5.9,0,6pm-7pm,Thursday,Blue Line,Westbound,0,placeholder
2569,Wonderland,B.70059,1,18,0,18,7pm-8pm,Thursday,Blue Line,Westbound,3,placeholder
2570,Revere Beach,B.70057,2,7,0.8,27,7pm-8pm,Thursday,Blue Line,Westbound,4,placeholder
2571,Beachmont,B.70055,3,6,3,25,7pm-8pm,Thursday,Blue Line,Westbound,4,placeholder
2572,Suffolk Downs,B.70053,4,1,0.1,28,7pm-8pm,Thursday,Blue Line,Westbound,5,placeholder
2573,Orient Heights,B.70051,5,13,5.7,71,7pm-8pm,Thursday,Blue Line,Westbound,12,placeholder
2574,Wood Island,B.70049,6,6,0.7,62,7pm-8pm,Thursday,Blue Line,Westbound,10,placeholder
2575,Airport,B.70047,7,24,7.8,78,7pm-8pm,Thursday,Blue Line,Westbound,13,placeholder
2576,Maverick,B.70045,8,27,6.5,56,7pm-8pm,Thursday,Blue Line,Westbound,9,placeholder
2577,Aquarium,B.70043,9,5,5.3,62,7pm-8pm,Thursday,Blue Line,Westbound,10,placeholder
2578,State,B.70041,10,3,20.9,44,7pm-8pm,Thursday,Blue Line,Westbound,7,placeholder
2579,Government Center,B.70039,11,0,40.8,3,7pm-8pm,Thursday,Blue Line,Westbound,0,placeholder
2580,Bowdoin,B.70838,12,0,3.3,0,7pm-8pm,Thursday,Blue Line,Westbound,0,placeholder
2581,Wonderland,B.70059,1,9,0,9,8pm-9pm,Thursday,Blue Line,Westbound,2,placeholder
2582,Revere Beach,B.70057,2,5,0.3,14,8pm-9pm,Thursday,Blue Line,Westbound,2,placeholder
2583,Beachmont,B.70055,3,3,3.4,15,8pm-9pm,Thursday,Blue Line,Westbound,2,placeholder
2584,Suffolk Downs,B.70053,4,0,0.2,14,8pm-9pm,Thursday,Blue Line,Westbound,2,placeholder
2585,Orient Heights,B.70051,5,12,2.5,34,8pm-9pm,Thursday,Blue Line,Westbound,6,placeholder
2586,Wood Island,B.70049,6,3,0.9,36,8pm-9pm,Thursday,Blue Line,Westbound,6,placeholder
2587,Airport,B.70047,7,17,7,55,8pm-9pm,Thursday,Blue Line,Westbound,9,placeholder
2588,Maverick,B.70045,8,17,5.2,36,8pm-9pm,Thursday,Blue Line,Westbound,6,placeholder
2589,Aquarium,B.70043,9,3,1.5,31,8pm-9pm,Thursday,Blue Line,Westbound,5,placeholder
2590,State,B.70041,10,1,13.7,19,8pm-9pm,Thursday,Blue Line,Westbound,3,placeholder
2591,Government Center,B.70039,11,0,19.1,2,8pm-9pm,Thursday,Blue Line,Westbound,0,placeholder
2592,Bowdoin,B.70838,12,0,2,0,8pm-9pm,Thursday,Blue Line,Westbound,0,placeholder
2593,Wonderland,B.70059,1,11,0,11,9pm-10pm,Thursday,Blue Line,Westbound,2,placeholder
2594,Revere Beach,B.70057,2,6,1.1,15,9pm-10pm,Thursday,Blue Line,Westbound,2,placeholder
2595,Beachmont,B.70055,3,4,2.7,15,9pm-10pm,Thursday,Blue Line,Westbound,2,placeholder
2596,Suffolk Downs,B.70053,4,1,0.4,16,9pm-10pm,Thursday,Blue Line,Westbound,3,placeholder
2597,Orient Heights,B.70051,5,12,3.1,40,9pm-10pm,Thursday,Blue Line,Westbound,7,placeholder
2598,Wood Island,B.70049,6,3,1.5,42,9pm-10pm,Thursday,Blue Line,Westbound,7,placeholder
2599,Airport,B.70047,7,20,6.1,47,9pm-10pm,Thursday,Blue Line,Westbound,8,placeholder
2600,Maverick,B.70045,8,17,6.4,40,9pm-10pm,Thursday,Blue Line,Westbound,7,placeholder
2601,Aquarium,B.70043,9,2,1.7,40,9pm-10pm,Thursday,Blue Line,Westbound,7,placeholder
2602,State,B.70041,10,1,17.2,24,9pm-10pm,Thursday,Blue Line,Westbound,4,placeholder
2603,Government Center,B.70039,11,0,19.1,2,9pm-10pm,Thursday,Blue Line,Westbound,0,placeholder
2604,Bowdoin,B.70838,12,0,2.5,0,9pm-10pm,Thursday,Blue Line,Westbound,0,placeholder
2605,Wonderland,B.70059,1,9,0,9,10pm-11pm,Thursday,Blue Line,Westbound,2,placeholder
2606,Revere Beach,B.70057,2,4,0.8,11,10pm-11pm,Thursday,Blue Line,Westbound,2,placeholder
2607,Beachmont,B.70055,3,3,2.6,11,10pm-11pm,Thursday,Blue Line,Westbound,2,placeholder
2608,Suffolk Downs,B.70053,4,0,0.8,10,10pm-11pm,Thursday,Blue Line,Westbound,2,placeholder
2609,Orient Heights,B.70051,5,8,1.8,29,10pm-11pm,Thursday,Blue Line,Westbound,5,placeholder
2610,Wood Island,B.70049,6,5,1.3,33,10pm-11pm,Thursday,Blue Line,Westbound,6,placeholder
2611,Airport,B.70047,7,17,6.8,44,10pm-11pm,Thursday,Blue Line,Westbound,7,placeholder
2612,Maverick,B.70045,8,16,4.6,33,10pm-11pm,Thursday,Blue Line,Westbound,6,placeholder
2613,Aquarium,B.70043,9,4,1.9,34,10pm-11pm,Thursday,Blue Line,Westbound,6,placeholder
2614,State,B.70041,10,1,16.1,20,10pm-11pm,Thursday,Blue Line,Westbound,3,placeholder
2615,Government Center,B.70039,11,0,19.5,3,10pm-11pm,Thursday,Blue Line,Westbound,0,placeholder
2616,Bowdoin,B.70838,12,0,2.6,0,10pm-11pm,Thursday,Blue Line,Westbound,0,placeholder
2617,Wonderland,B.70059,1,6,0,6,11pm-12am,Thursday,Blue Line,Westbound,1,placeholder
2618,Revere Beach,B.70057,2,2,1,7,11pm-12am,Thursday,Blue Line,Westbound,1,placeholder
2619,Beachmont,B.70055,3,1,1.9,6,11pm-12am,Thursday,Blue Line,Westbound,1,placeholder
2620,Suffolk Downs,B.70053,4,0,0.1,7,11pm-12am,Thursday,Blue Line,Westbound,1,placeholder
